               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061558,            0.024051,                   0,             0.48939,             0.87265,             0.49441,              0.2732,            0.025036,            0.010495,                   0,            0.070041,           0.0033288,           0.0033288
                   1,            0.041454,            0.019114,                   0,             0.48265,             0.89073,             0.48263,             0.31752,            0.019819,           0.0098456,                   0,            0.039975,           0.0065961,           0.0065961
                   2,            0.037407,             0.01736,                   0,             0.62581,             0.87214,             0.73905,             0.44573,            0.022665,           0.0084761,                   0,           0.0098432,           0.0097975,           0.0097975
                   3,            0.033564,            0.016541,                   0,              0.6324,             0.76747,              0.7006,             0.44025,            0.020144,           0.0098952,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.030866,            0.015462,                   0,             0.58255,             0.87641,             0.73943,             0.54725,            0.015117,           0.0079336,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.028618,            0.014362,                   0,             0.82338,             0.87717,               0.906,             0.75442,            0.012587,           0.0058237,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.027384,            0.013676,                   0,             0.89392,             0.91183,             0.95831,             0.79632,            0.011495,           0.0049336,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.026517,             0.01307,                   0,             0.91155,             0.93974,             0.96607,             0.79443,             0.01143,           0.0049124,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.025379,            0.012819,                   0,             0.68705,             0.52114,             0.58164,             0.43485,            0.014137,            0.012579,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.025026,             0.01239,                   0,             0.92848,             0.93917,             0.97458,             0.81656,            0.011646,           0.0045135,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.02443,            0.012191,                   0,             0.91897,             0.93896,             0.96708,             0.82476,            0.010259,           0.0043388,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.023895,            0.011767,                   0,             0.94666,             0.94962,             0.96744,             0.82697,             0.01044,           0.0044332,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.023641,            0.011655,                   0,             0.93608,             0.94951,             0.96779,             0.85945,           0.0098161,            0.004398,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.023113,            0.011492,                   0,             0.94916,             0.95403,             0.97912,             0.87123,           0.0091383,           0.0038777,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.022724,            0.011316,                   0,             0.93747,             0.95479,             0.97896,             0.86824,           0.0094391,           0.0038047,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.022356,            0.011181,                   0,             0.94156,             0.94706,             0.97433,             0.83274,            0.010196,           0.0040824,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.022187,             0.01109,                   0,               0.971,             0.96232,             0.98167,             0.86645,           0.0093861,           0.0037916,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.022286,            0.011022,                   0,             0.96222,             0.96684,             0.98423,             0.88437,           0.0088442,            0.003572,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.02135,            0.010694,                   0,             0.95369,             0.95328,             0.97787,             0.88677,           0.0083815,           0.0036419,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.021877,            0.010842,                   0,             0.96686,             0.96743,             0.98292,             0.89174,           0.0080704,           0.0035348,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.020893,            0.010651,                   0,             0.95585,             0.96458,             0.98245,             0.88274,           0.0082071,           0.0034641,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.020945,            0.010369,                   0,             0.96102,             0.96081,             0.98044,             0.88866,           0.0079666,           0.0040227,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.020679,            0.010339,                   0,             0.96271,             0.97269,             0.98605,              0.8954,              0.0081,           0.0033961,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.021043,            0.010308,                   0,             0.96591,             0.97815,             0.98733,             0.89547,            0.007935,           0.0034505,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.020541,            0.010371,                   0,             0.96186,             0.96458,             0.98549,             0.88508,           0.0081598,           0.0033691,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.020479,            0.010039,                   0,             0.96305,             0.96244,              0.9851,             0.90368,           0.0077046,           0.0033495,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.020331,            0.010124,                   0,              0.9706,             0.97015,              0.9863,             0.89782,            0.008271,           0.0032545,                   0,            0.007525,            0.007525,            0.007525
                  27,             0.02016,            0.010001,                   0,             0.97491,             0.96641,             0.98594,              0.9014,           0.0077598,           0.0033718,                   0,            0.007426,            0.007426,            0.007426
                  28,             0.02009,           0.0098433,                   0,             0.97233,             0.96157,             0.98505,             0.90757,           0.0074852,           0.0033381,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.020018,           0.0098813,                   0,             0.96954,             0.96986,             0.98375,             0.90804,           0.0074064,           0.0032185,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.019808,           0.0098632,                   0,             0.95987,             0.96835,             0.98291,             0.90283,           0.0076839,           0.0032096,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.019638,            0.009767,                   0,             0.97355,             0.97067,             0.98503,             0.90313,           0.0073534,           0.0031239,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.019669,           0.0097213,                   0,             0.97522,             0.97739,             0.98681,             0.91354,           0.0071917,            0.003063,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.019649,            0.009651,                   0,             0.97926,             0.98116,             0.98786,             0.91642,           0.0074419,           0.0030574,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.019683,           0.0095553,                   0,             0.97285,             0.97223,              0.9876,             0.92343,           0.0072364,           0.0029992,                   0,            0.006733,            0.006733,            0.006733
